"Organisation"	"Peering Contact"	"Switch"	"AS number"	"LAN"	"ISP (v4)"	"ISP (v6)"	"Multicast"	"MDX"	"Peers with route server"	"Location"	"Connection"	"Policy"	"Speed"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-SAR-148"	"5390"	"ISP"	"80.249.208.55"	"2001:7f8:1::a500:5390:2"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-SAR-148"	"5390"	"ISP"	"80.249.208.55"	"2001:7f8:1::a500:5390:2"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-SAR-148"	"5390"	"ISP"	"80.249.208.55"	"2001:7f8:1::a500:5390:2"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-SAR-148"	"5390"	"ISP"	"80.249.208.55"	"2001:7f8:1::a500:5390:2"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-GLO-117"	"5390"	"ISP"	"80.249.208.70"	"2001:7f8:1::a500:5390:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-GLO-117"	"5390"	"ISP"	"80.249.208.70"	"2001:7f8:1::a500:5390:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-GLO-117"	"5390"	"ISP"	"80.249.208.70"	"2001:7f8:1::a500:5390:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Euronet Communications BV"	"dl-network.peering@is.online.nl"	"PXC-GLO-117"	"5390"	"ISP"	"80.249.208.70"	"2001:7f8:1::a500:5390:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"EUROTRANSTELECOM LLC"	"peering@ett.ua"	"PXC-EQX-154"	"35320"	"ISP"	"80.249.209.183"	"2001:7f8:1::a503:5320:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"EUROTRANSTELECOM LLC"	"peering@ett.ua"	"PXC-EQX-154"	"35320"	"ISP"	"80.249.209.183"	"2001:7f8:1::a503:5320:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Eutelia S.p.A."	"peering@eutelia.it"	"mym6-phys-1350-6127"	"15589"	"ISP"	"80.249.210.206"	"2001:7f8:1::a501:5589:1"	"no"	"no"	"yes"	"Digital Realty AMS01"	""	"case-by-case"	"1GE"
"Evolink AD"	"peering@evolink.com"	"mym6-phys-2368"	"8262"	"ISP"	"80.249.209.61"	"2001:7f8:1::a500:8262:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2GE"
"EWE TEL GmbH"	"peerings@ewetel.de"	"PXC-NIK-146"	"9145"	"ISP"	"80.249.208.42"	"2001:7f8:1::a500:9145:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"EWE TEL GmbH"	"peerings@ewetel.de"	"PXC-NIK-146"	"9145"	"ISP"	"80.249.208.42"	"2001:7f8:1::a500:9145:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"EWE TEL GmbH"	"peerings@ewetel.de"	"PXC-NIK-146"	"9145"	"ISP"	"80.249.208.42"	"2001:7f8:1::a500:9145:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"EWE TEL GmbH"	"peerings@ewetel.de"	"PXC-NIK-146"	"9145"	"ISP"	"80.249.208.42"	"2001:7f8:1::a500:9145:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"EWE TEL GmbH"	"peerings@ewetel.de"	"PXC-NIK-146"	"9145"	"ISP"	"80.249.208.42"	"2001:7f8:1::a500:9145:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"EWE TEL GmbH"	"peerings@ewetel.de"	"PXC-NIK-146"	"9145"	"ISP"	"80.249.208.42"	"2001:7f8:1::a500:9145:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"EWE TEL GmbH"	"peerings@ewetel.de"	"PXC-NIK-146"	"9145"	"ISP"	"80.249.208.42"	"2001:7f8:1::a500:9145:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"eww ag"	"peering@itandtel.at"	"PXC-NIK-146"	"21013"	"ISP"	"80.249.212.224"	"2001:7f8:1::a502:1013:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Exa Networks"	"peering@exa-networks.co.uk"	"phys-20101021-125-001"	"30740"	"ISP"	"80.249.209.182"	"2001:7f8:1::a503:740:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"EXATEL SA"	"bgp@exatel.pl"	"mym6-phys-2403-3591"	"20804"	"ISP"	"80.249.211.34"	"2001:7f8:1::a502:804:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"10GE"
"Expereo International B.V."	"peering@expereo.com"	"PXC-GLO-117"	"15695"	"ISP"	"80.249.213.72"	"2001:7f8:1::a501:5695:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Exponential-e"	"peering@exponential-e.com"	"PXC-TC5-151"	"25180"	"ISP"	"80.249.210.52"	"2001:7f8:1::a502:5180:1"	"no"	"no"	"no"	"Equinix AM5"	"LR"	"Selective"	"10GE"
"ezNetworking Solutions Pte. Ltd. "	"peering@eznetsols.com"	"mynl-phys-3316"	"23939"	"ISP"	"80.249.212.244"	"2001:7f8:1::a502:3939:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"2FE"
"Facebook, Inc"	"peering@fb.com"	"PXC-EQ3-160"	"32934"	"ISP"	"80.249.209.115"	"2001:7f8:1::a503:2934:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Facebook, Inc"	"peering@fb.com"	"PXC-EQ3-160"	"32934"	"ISP"	"80.249.209.115"	"2001:7f8:1::a503:2934:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Facebook, Inc"	"peering@fb.com"	"PXC-TC5-159"	"32934"	"ISP"	"80.249.209.164"	"2001:7f8:1::a503:2934:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Facebook, Inc"	"peering@fb.com"	"PXC-TC5-159"	"32934"	"ISP"	"80.249.209.164"	"2001:7f8:1::a503:2934:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Facebook, Inc"	"peering@fb.com"	"PXC-EQ3-145"	"32934"	"ISP"	"80.249.212.174"	"2001:7f8:1::a503:2934:3"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Facebook, Inc"	"peering@fb.com"	"PXC-EQ3-145"	"32934"	"ISP"	"80.249.212.174"	"2001:7f8:1::a503:2934:3"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Facebook, Inc"	"peering@fb.com"	"PXC-TC5-159"	"32934"	"ISP"	"80.249.212.175"	"2001:7f8:1::a503:2934:4"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Facebook, Inc"	"peering@fb.com"	"PXC-TC5-159"	"32934"	"ISP"	"80.249.212.175"	"2001:7f8:1::a503:2934:4"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Farice ehf."	"peering@farice.is"	"PXC-TEL-140"	"56704"	"ISP"	"80.249.212.60"	"2001:7f8:1::a505:6704:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Farice ehf."	"peering@farice.is"	"PXC-TEL-140"	"56704"	"ISP"	"80.249.212.60"	"2001:7f8:1::a505:6704:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Fastly, Inc."	"peering@fastly.com"	"PXC-EQX-165"	"54113"	"ISP"	"80.249.212.183"	"2001:7f8:1::a505:4113:2"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR4"	"selective"	"100GE"
"Fastly, Inc."	"peering@fastly.com"	"PXC-EQX-165"	"54113"	"ISP"	"80.249.212.184"	"2001:7f8:1::a505:4113:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR4"	"selective"	"100GE"
"FASTWEB S.p.A."	"peering@fastweb.it"	"PXC-SAR-102"	"12874"	"ISP"	"80.249.209.243"	"2001:7f8:1::a501:2874:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"FASTWEB S.p.A."	"peering@fastweb.it"	"PXC-SAR-102"	"12874"	"ISP"	"80.249.209.243"	"2001:7f8:1::a501:2874:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"Feral Hosting"	"joshua.mcquistan@feralhosting.com"	"PXC-IXN-124"	"200052"	"ISP"	"80.249.211.10"	"2001:7f8:1:0:a500:20:52:1"	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"Feral Hosting"	"joshua.mcquistan@feralhosting.com"	"PXC-IXN-124"	"200052"	"ISP"	"80.249.211.10"	"2001:7f8:1:0:a500:20:52:1"	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"Feral Hosting"	"peering@feral.io"	"PXC-NIK-126"	"200052"	"ISP"	"80.249.211.10"	"2001:7f8:1:0:a500:20:52:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Feral Hosting"	"peering@feral.io"	"PXC-NIK-126"	"200052"	"ISP"	"80.249.211.10"	"2001:7f8:1:0:a500:20:52:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Fiberax Networking&Cloud LTD"	"peering@fiberax.com"	"mym6-phys-4209-2962"	"3252"	"ISP"	"80.249.209.56"	"2001:7f8:1::a500:3252:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"case-by-case"	"3GE"
"Fiberby ApS"	"peering@fiberby.net"	"PXC-TC5-151"	"42541"	"ISP"	"80.249.212.84"	"2001:7f8:1::a504:2541:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Firm Trade Corporation"	"it@firmtrade.com"	"mym6-phys-1795"	"60239"	"ISP"	"80.249.212.168"	"2001:7f8:1::a506:239:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1FE"
"First Colo GmbH"	"peering@first-colo.net"	"mym6-phys-3790"	"44066"	"ISP"	"80.249.210.114"	"2001:7f8:1::a504:4066:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"3GE"
"FLAG TELECOM IRELAND NETWORK DAC"	"peering@globalcloudxchange.com"	"PXC-SAR-114"	"15412"	"ISP"	"80.249.208.72"	"2001:7f8:1::a501:5412:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"FLAG TELECOM IRELAND NETWORK DAC"	"peering@globalcloudxchange.com"	"PXC-SAR-114"	"15412"	"ISP"	"80.249.208.72"	"2001:7f8:1::a501:5412:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"FLAG TELECOM IRELAND NETWORK DAC"	"peering@globalcloudxchange.com"	"PXC-SAR-114"	"15412"	"ISP"	"80.249.208.72"	"2001:7f8:1::a501:5412:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"Forcepoint"	"peering@forcepoint.com"	"PXC-EQ3-145"	"44444"	"ISP"	"80.249.211.69"	"2001:7f8:1::a504:4444:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Forthnet S.A."	"peering-tech@forthnet.gr"	"PXC-TEL-140"	"1241"	"ISP"	"80.249.210.140"	"2001:7f8:1::a500:1241:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"FPT Telecom Tan Thuan"	"nhanhl@fpt.com.vn"	"mynl-phys-3316"	"18403"	"ISP"	"80.249.213.93"	"2001:7f8:1::a501:8403:2"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1FE"
"Frame Design EOOD"	"support@net-frame.net"	"mym6-phys-3682-3333"	"200617"	"ISP"	"80.249.212.221"	""	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1FE"
"Free SAS"	"peering@proxad.net"	"PXC-TEL-152"	"12322"	"ISP"	"80.249.208.251"	"2001:7f8:1::a501:2322:1"	"no"	"no"	"no"	"Equinix AM7"	"LR4"	"open"	"100GE"
"Frontiir Co. Ltd"	"peering@frontiir.net"	"mym6-phys-1390"	"58952"	"ISP"	"80.249.212.236"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Fundaments BV"	"noc@fundaments.nl"	"PXC-TEL-140"	"20559"	"ISP"	"80.249.212.107"	"2001:7f8:1::a502:559:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Fusion Media Limited"	"noc@investing.com"	"PXC-TC5-159"	"56647"	"ISP"	"80.249.213.84"	"2001:7f8:1::a505:6647:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Fusix Networks BV"	"peering@fusix.nl"	"EDGE-EVO-018"	"57866"	"ISP"	"80.249.209.248"	"2001:7f8:1::a505:7866:1"	"no"	"no"	"yes"	"EvoSwitch"	"LX"	"selective"	"1GE"
"Fusix Networks BV"	"peering@fusix.nl"	"PXC-NIK-146"	"57866"	"ISP"	"80.249.213.86"	"2001:7f8:1::a505:7866:2"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"selective"	"10GE"
"Gameforge Productions GmbH"	"peering@as47195.net"	"PXC-SAR-114"	"47195"	"ISP"	"80.249.208.92"	"2001:7f8:1::a504:7195:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Gandi SAS"	"peering@gandi.net"	"phys-20101021-125-001"	"29169"	"ISP"	"80.249.209.244"	"2001:7f8:1::a502:9169:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Garnier Projects BV"	"peerings@netholding.nl"	"PXC-GLO-117"	"24730"	"ISP"	"80.249.208.79"	"2001:7f8:1::a502:4730:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"GBI HQ Coöperatief U.A."	"dyoung@gbiinc.com"	"PXC-EQX-154"	"200612"	"ISP"	"80.249.213.82"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"GCI Network Solutions"	"peering@gcicom.net"	"mynl-phys-3690"	"8851"	"ISP"	"80.249.213.87"	"2001:7f8:1::a500:8851:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"G-Core Labs S.A."	"peering@gcore.lu"	"PXC-NIK-133"	"199524"	"ISP"	"80.249.210.150"	"2001:7f8:1:0:a500:19:9524:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"open"	"100GE"
"Gelderland Internet Exchange"	"noc@gl-ix.net"	"mym6-phys-3084"	"43190"	"ISP"	"80.249.208.157"	"2001:7f8:1::a504:3190:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"Gemeente Den Haag"	"peering@haagnet.net"	"EDGE-NIK-011"	"29263"	"ISP"	"80.249.208.129"	"2001:7f8:1::a502:9263:1"	"no"	"no"	"yes"	"NIKHEF"	"SX"	"http://www.denhaag.nl"	"1GE"
"Gemeente Den Haag"	"peering@haagnet.net"	"EDGE-SAR-010"	"29263"	"ISP"	"80.249.209.172"	"2001:7f8:1::a502:9263:2"	"no"	"no"	"yes"	"Interxion Science Park"	"LX"	"http://www.denhaag.nl"	"1GE"
"Gemeente Heerlen"	"peering@ictparkstad.net"	"EDGE-NIK-011"	"38915"	"ISP"	"80.249.209.205"	"2001:7f8:1::a503:8915:1"	"no"	"no"	"yes"	"NIKHEF"	"SX"	"open"	"1GE"
"Gemnet LLC"	"peering@gemnet.mn"	"PXC-TEL-140"	"45204"	"ISP"	"80.249.211.86"	"2001:7f8:1::a504:5204:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Geny Communications Srl"	"noc@geny.it"	"mym6-phys-1350-6127"	"45015"	"ISP"	"80.249.212.231"	""	"no"	"no"	"yes"	"Digital Realty AMS01"	""	"open"	"5FE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.208.193"	"2001:7f8:1::a503:94:2"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.208.193"	"2001:7f8:1::a503:94:2"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.208.193"	"2001:7f8:1::a503:94:2"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.208.193"	"2001:7f8:1::a503:94:2"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.209.141"	"2001:7f8:1::a503:94:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.209.141"	"2001:7f8:1::a503:94:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.209.141"	"2001:7f8:1::a503:94:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Giganews, Inc."	"mfine@giganews.com"	"PXC-EQ3-153"	"30094"	"ISP"	"80.249.209.141"	"2001:7f8:1::a503:94:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Gitoyen"	"peering@gitoyen.net"	"mym6-phys-2090"	"20766"	"ISP"	"80.249.210.195"	"2001:7f8:1::a502:766:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1FE"
"Globalaxs Communications"	"peering@m247.com"	"PXC-NIK-146"	"9009"	"ISP"	"80.249.208.63"	"2001:7f8:1::a500:9009:1"	"no"	"no"	"no"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"Globalaxs Communications"	"peering@m247.com"	"PXC-NIK-146"	"9009"	"ISP"	"80.249.208.63"	"2001:7f8:1::a500:9009:1"	"no"	"no"	"no"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"Globalaxs Communications"	"peering@m247.com"	"PXC-NIK-116"	"9009"	"ISP"	"80.249.208.63"	"2001:7f8:1::a500:9009:1"	"no"	"no"	"no"	"NIKHEF"	"LR4"	"case-by-case"	"100GE"
"Global Best Brands"	"noc@crypt-logic.net"	"mym6-phys-3682-3333"	"200079"	"ISP"	"80.249.213.55"	""	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1FE"
"Global Communication Net (GCN)"	"noc@gcn.bg"	"mym6-phys-3682-3333"	"12615"	"ISP"	"80.249.212.171"	"2001:7f8:1::a501:2615:2"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"3GE"
"GlobalConnect A/S"	"peering@globalconnect.dk"	"PXC-TEL-125"	"42525"	"ISP"	"80.249.208.96"	"2001:7f8:1::a504:2525:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"selective"	"10GE"
"GlobalConnect A/S"	"peering@globalconnect.dk"	"PXC-TEL-125"	"42525"	"ISP"	"80.249.208.96"	"2001:7f8:1::a504:2525:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"selective"	"10GE"
"Global-e Datacenter BV"	"peering@as39591.net"	"PXC-NIK-116"	"39591"	"ISP"	"80.249.208.152"	"2001:7f8:1::a503:9591:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Global Layer B.V."	"peering@global-layer.com"	"PXC-EVO-162"	"49453"	"ISP"	"80.249.212.159"	"2001:7f8:1::a504:9453:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"case-by-case"	"10GE"
"Global Layer B.V."	"peering@global-layer.com"	"PXC-EVO-162"	"49453"	"ISP"	"80.249.212.159"	"2001:7f8:1::a504:9453:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"case-by-case"	"10GE"
"Global Layer B.V."	"peering@global-layer.com"	"PXC-EVO-162"	"49453"	"ISP"	"80.249.212.159"	"2001:7f8:1::a504:9453:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"case-by-case"	"10GE"
"Global Layer B.V."	"peering@global-layer.com"	"PXC-EVO-162"	"49453"	"ISP"	"80.249.212.159"	"2001:7f8:1::a504:9453:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"case-by-case"	"10GE"
"Global Network Management Ltd"	""	"PXC-NIK-112"	"31500"	"ISP"	"80.249.209.157"	"2001:7f8:1::a503:1500:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Global Transit"	"peering@globaltransit.net"	"PXC-EQX-165"	"24218"	"ISP"	"80.249.210.115"	"2001:7f8:1::a502:4218:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Globecorp Networks"	"peering@globecorp.net"	"PXC-DR1-168"	"63113"	"ISP"	"80.249.213.168"	""	"no"	"no"	"yes"	"Digital Realty AMS01"	"LR"	"open"	"10GE"
"Globecorp Networks"	"peering@globecorp.net"	"PXC-DR1-168"	"63113"	"ISP"	"80.249.213.168"	""	"no"	"no"	"yes"	"Digital Realty AMS01"	"LR"	"open"	"10GE"
"GlobeNet"	"peering@globenet.net"	"mym6-phys-3790"	"52320"	"ISP"	"80.249.212.8"	"2001:7f8:1::a505:2320:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"selective"	"10GE"
"GNC-ALFA CJSC "	"m.khachatryan@rtarmenia.am"	"PXC-IXN-124"	"6682"	"ISP"	"80.249.212.200"	"2001:7f8:1::a500:6682:1"	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"gnTel B.V."	"peering@gntel.nl"	"mym6-phys-1795"	"41153"	"ISP"	"80.249.212.82"	"2001:7f8:1::a504:1153:1"	"no"	"no"	"no"	"NIKHEF"	""	"case-by-case"	"1FE"
"GoDaddy.com, Inc "	"peering@godaddy.com"	"PXC-TC5-151"	"26496"	"ISP"	"80.249.208.26"	"2001:7f8:1::a502:6496:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"none"	"10GE"
"Golden Frog GmbH"	"noc@goldenfrog.com"	"PXC-EQ3-160"	"22363"	"ISP"	"80.249.212.22"	""	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Golden Frog GmbH"	"noc@goldenfrog.com"	"PXC-EQ3-160"	"22363"	"ISP"	"80.249.212.23"	""	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Golden Telecom Limited"	"noc@beeline.ru"	"PXC-EQX-118"	"3216"	"ISP"	"80.249.209.153"	"2001:7f8:1::a500:3216:1"	"no"	"no"	"no"	"Equinix AM1/2"	"ER"	"case-by-case"	"10GE"
"Google Ireland Limited"	"amsix-contact@google.com"	"PXC-TC5-144"	"15169"	"ISP"	"80.249.208.247"	"2001:7f8:1::a501:5169:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Google Ireland Limited"	"amsix-contact@google.com"	"PXC-TC5-144"	"15169"	"ISP"	"80.249.208.247"	"2001:7f8:1::a501:5169:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Google Ireland Limited"	"amsix-contact@google.com"	"PXC-EQ3-160"	"15169"	"ISP"	"80.249.209.100"	"2001:7f8:1::a501:5169:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Google Ireland Limited"	"amsix-contact@google.com"	"PXC-EQ3-160"	"15169"	"ISP"	"80.249.209.100"	"2001:7f8:1::a501:5169:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Gopas Solutions GmbH (new)"	"support@gopas.de"	"mym6-phys-3679"	"13157"	"ISP"	"80.249.211.22"	"2001:7f8:1::a501:3157:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
